name,price,status,shipping,free_returns,items_sold
2 units! UNO R3 ATmega328P ATmega CH340 Development Board for ARDUINO ,1500,New,0,False,375
Arduino UNO R3 Compatible ATmega328P CH340 USB Board DIY,849,New,0,True,0
"Arduino Uno Compatible Starter Kit w/ Breadboard, Jumpers, USB & Battery Cables",1329,New,0,True,0
EPAL Ultimate Starter Kit (Compatible with Arduino UNO R3) Processing USA,3699,New,0,True,0
WeMos D1 CH340 WiFi Full Size Development Board ESP8266 ESP-12F Arduino UNO R3,795,New,0,True,0
UNO R3 ATmega328P ATmega CH340 Development Board & USB Cable for ARDUINO ,1199,New,0,False,184
ARDUINO UNO R3 Board & USB Cable US Seller Original Made in Italy,1089,New,200,False,0
Arduino UNO R3 Board Atmega328pu 1028 Project Board,1295,Used,0,True,0
"Arduino Uno R3 DIP + USB Set, OR A000066 Microcontroller Only, OR USB Wire Only",454,New,295,True,0
"Arduino Compatible Boards - UNO, Nano, Mega, Pro-Mini, Wi-Fi - In stock, USA",205,New,345,False,198
"2 units! - ARDUINO UNO R3 Compatible  Board with ATmega 328P CH340, US Seller!",1500,New,0,False,366
Arduino UNO R3 Starter Professional Level Basic Kit for small Projects ,2439,New,0,True,0
