name,price,status,shipping,free_returns,items_sold
HP Spectre x360 15.6 4K UHD Touch Intel i7-1165G7 16GB 512GB SSD Laptop,139999,Certified - Refurbished,0,True,19
"HP Spectre x360 Convertible 13t-aw000 13-Inch 10th Gen i7-1065G7 , 16 GB, 1 TB ",26400,Used,2500,False,0
HP Spectre X360 Touch 13-ae014dx INTEL i7-8550U 16GB RAM 512GB SSD WINDOWS 10 P,52900,Used,1999,False,0
"HP Spectre x360 13.3 inch (1TB, i7 1065G7 10th Gen, 3.90GHz, 16GB)",137500,Open box,0,False,0
"HP Spectre x360 Convertible 15"" Laptop i7-8550U @ 1.8 GHz - 16 GB RAM - 1 TB SSD",100000,Used,0,False,0
"Rose Gold HP Spectre x360 13-ae0xx 13"" 4K Touchscreen i5-8250U 8GB 360GB SSD Pen",64997,Used,2497,False,0
HP Spectre x360 15-CH011dx  i7-8550U 1.8GHz 16GB RAM 512GB SSD 4K Display.,79000,Used,1500,False,0
HP Spectre x360 15.6 4K UHD Touch Intel i7-1165G7 16GB 512GB SSD Laptop,139999,Certified - Refurbished,0,True,19
"RB HP Spectre Pro x360 G2 13.3"" i7-6600U , 2.6Ghz, 8GB, 512 SSD, Win PRO",57999,Certified - Refurbished,0,True,2
HP Spectre x360 15.6 4K Touch Intel i7 1165G7 16GB 512GB Laptop Renewed Bundle,139999,Certified - Refurbished,0,True,5
